team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,winner,time_of_day,series,player_of_match,player_of_match_team,toss,toss_decision,ground_country,winner_played_at,year
Scotland,Australia,181,182,7,4,Australia,Day,ICC World Cup,Mark Waugh,Australia,Australia,field first,England,away,1999
Pakistan,West Indies,229,202,8,10,Pakistan,Day,ICC World Cup,Azhar Mahmood,Pakistan,Pakistan,bat first,England,away,1999
Bangladesh,New Zealand,116,117,10,4,New Zealand,Day,ICC World Cup,Gavin Larsen,New Zealand,New Zealand,field first,England,away,1999
Kenya,England,203,204,10,1,England,Day,ICC World Cup,Steve Tikolo,Kenya,England,field first,England,home,1999
Zimbabwe,India,252,249,9,10,Zimbabwe,Day,ICC World Cup,Grant Flower,Zimbabwe,India,field first,England,away,1999
South Africa,Sri Lanka,199,110,9,10,South Africa,Day,ICC World Cup,Lance Klusener,South Africa,Sri Lanka,field first,England,away,1999
Australia,New Zealand,213,214,8,5,New Zealand,Day,ICC World Cup,Roger Twose,New Zealand,Australia,bat first,Wales,away,1999
Pakistan,Scotland,261,167,6,10,Pakistan,Day,ICC World Cup,Mohammad Yousuf,Pakistan,Scotland,field first,England,away,1999
Bangladesh,West Indies,182,183,10,3,West Indies,Day,ICC World Cup,Courtney Walsh,West Indies,Bangladesh,bat first,Ireland,away,1999
South Africa,England,225,103,7,10,South Africa,Day,ICC World Cup,Lance Klusener,South Africa,England,field first,England,away,1999
Zimbabwe,Sri Lanka,197,198,9,6,Sri Lanka,Day,ICC World Cup,Marvan Atapattu,Sri Lanka,Sri Lanka,field first,England,away,1999
India,Kenya,329,235,2,7,India,Day,ICC World Cup,Sachin Tendulkar,India,Kenya,field first,England,away,1999
Pakistan,Australia,275,265,8,10,Pakistan,Day,ICC World Cup,Inzamam-ul-Haq,Pakistan,Australia,field first,England,away,1999
Bangladesh,Scotland,185,163,9,10,Bangladesh,Day,ICC World Cup,Minhajul Abedin,Bangladesh,Scotland,field first,Midlothian,away,1999
New Zealand,West Indies,156,158,10,3,West Indies,Day,ICC World Cup,Ridley Jacobs,West Indies,West Indies,field first,England,away,1999
Zimbabwe,England,167,168,8,3,England,Day,ICC World Cup,Alan Mullally,England,England,field first,England,home,1999
Kenya,South Africa,152,153,10,3,South Africa,Day,ICC World Cup,Lance Klusener,South Africa,South Africa,field first,Netherlands,away,1999
India,Sri Lanka,373,216,6,10,India,Day,ICC World Cup,Sourav Ganguly,India,Sri Lanka,field first,England,away,1999
Bangladesh,Australia,178,181,7,3,Australia,Day,ICC World Cup,Tom Moody,Australia,Australia,field first,England,away,1999
Scotland,West Indies,68,70,10,2,West Indies,Day,ICC World Cup,Courtney Walsh,West Indies,Scotland,bat first,England,away,1999
Pakistan,New Zealand,269,207,8,8,Pakistan,Day,ICC World Cup,Inzamam-ul-Haq,Pakistan,New Zealand,field first,England,away,1999
India,England,232,169,8,10,India,Day,ICC World Cup,Sourav Ganguly,India,England,field first,England,away,
Zimbabwe,South Africa,233,185,6,10,Zimbabwe,Day,ICC World Cup,Neil Johnson,Zimbabwe,Zimbabwe,bat first,England,away,1999
Sri Lanka,Kenya,275,230,8,6,Sri Lanka,Day,ICC World Cup,Maurice Odumbe,Kenya,Kenya,field first,England,away,1999
West Indies,Australia,110,111,10,4,Australia,Day,ICC World Cup,Glenn McGrath,Australia,Australia,field first,England,away,1999
Bangladesh,Pakistan,223,161,9,10,Bangladesh,Day,ICC World Cup,Khaled Mahmud,Bangladesh,Pakistan,field first,England,away,1999
Scotland,New Zealand,121,123,10,4,New Zealand,Day,ICC World Cup,Geoff Allott,New Zealand,New Zealand,field first,Midlothian,away,1999
Australia,India,282,205,6,10,Australia,Day,ICC World Cup,Glenn McGrath,Australia,India,field first,England,away,1999
Pakistan,South Africa,220,221,7,7,South Africa,Day,ICC World Cup,Lance Klusener,South Africa,Pakistan,bat first,England,away,1999
India,Pakistan,227,180,6,10,India,Day,ICC World Cup,Venkatesh Prasad,India,India,bat first,England,away,1999
Australia,Zimbabwe,303,259,4,6,Australia,Day,ICC World Cup,Neil Johnson,Zimbabwe,Zimbabwe,field first,England,away,1999
South Africa,New Zealand,287,213,5,8,South Africa,Day,ICC World Cup,Jacques Kallis,South Africa,South Africa,bat first,England,away,1999
Pakistan,Zimbabwe,271,123,9,10,Pakistan,Day,ICC World Cup,Saeed Anwar,Pakistan,Pakistan,bat first,England,away,1999
India,New Zealand,251,253,6,5,New Zealand,Day,ICC World Cup,Roger Twose,New Zealand,India,bat first,England,away,1999
South Africa,Australia,271,272,7,5,Australia,Day,ICC World Cup,Steve Waugh,Australia,South Africa,bat first,England,away,1999
New Zealand,Pakistan,241,242,7,1,Pakistan,Day,ICC World Cup,Shoaib Akhtar,Pakistan,New Zealand,bat first,England,away,1999
Australia,South Africa,213,213,10,10,Match tied,Day,ICC World Cup,Shane Warne,Australia,South Africa,field first,England,away,1999
Pakistan,Australia,132,133,10,2,Australia,Day,ICC World Cup,Shane Warne,Australia,Pakistan,bat first,England,away,1999
Australia,Sri Lanka,205,160,9,10,Australia,Day,Aiwa Cup,Jason Gillespie,Australia,Sri Lanka,field first,Sri Lanka,away,1999
India,Australia,151,159,7,2,Australia,Day,Aiwa Cup,Andrew Symonds,Australia,India,bat first,Sri Lanka,away,1999
India,Sri Lanka,205,206,8,3,Sri Lanka,Day and night,Aiwa Cup,Marvan Atapattu,Sri Lanka,India,bat first,Sri Lanka,home,1999
Australia,Sri Lanka,241,214,9,10,Australia,Day and night,Aiwa Cup,Mark Waugh,Australia,Australia,bat first,Sri Lanka,away,1999
Australia,India,252,211,8,10,Australia,Day,Aiwa Cup,Adam Gilchrist,Australia,India,field first,Sri Lanka,away,1999
India,Sri Lanka,296,247,4,9,India,Day,Aiwa Cup,Robin Singh,India,Sri Lanka,field first,Sri Lanka,away,1999
Australia,Sri Lanka,202,208,10,2,Sri Lanka,Day and night,Aiwa Cup,Romesh Kaluwitharana,Sri Lanka,Australia,bat first,Sri Lanka,home,1999
Zimbabwe,West Indies,244,247,9,4,West Indies,Day,Coca-Cola Singapore Challenge,Ridley Jacobs,West Indies,Zimbabwe,bat first,Singapore,away,1999
India,Zimbabwe,245,130,6,8,India,Day,Coca-Cola Singapore Challenge,Sachin Tendulkar,India,Zimbabwe,field first,Singapore,away,1999
West Indies,India,196,154,7,8,West Indies,Day,Coca-Cola Singapore Challenge,Brian Lara,West Indies,West Indies,bat first,Singapore,away,1999
India,West Indies,254,255,6,6,West Indies,Day,Coca-Cola Singapore Challenge,Ricardo Powell,West Indies,West Indies,field first,Singapore,away,1999
West Indies,India,163,165,10,2,India,Day,West Indies tour of Canada,Sourav Ganguly,India,India,field first,Canada,away,1999
West Indies,India,190,120,6,10,West Indies,Day,West Indies tour of Canada,Sherwin Campbell,West Indies,West Indies,bat first,Canada,away,1999
India,West Indies,225,137,7,10,India,Day,West Indies tour of Canada,Rahul Dravid,India,West Indies,field first,Canada,away,1999
Pakistan,West Indies,230,215,6,9,Pakistan,Day,Pakistan tour of Canada,Saeed Anwar,Pakistan,Pakistan,bat first,Canada,away,1999
Pakistan,West Indies,222,180,5,10,Pakistan,Day,Pakistan tour of Canada,Mohammad Yousuf,Pakistan,Pakistan,bat first,Canada,away,1999
West Indies,Pakistan,161,162,10,3,Pakistan,Day,Pakistan tour of Canada,Abdul Razzaq,Pakistan,West Indies,bat first,Canada,away,1999
Kenya,Zimbabwe,199,200,8,7,Zimbabwe,Day,LG Cup,Murray Goodwin,Zimbabwe,Zimbabwe,field first,Kenya,away,1999
South Africa,India,117,120,10,2,India,Day,LG Cup,Sunil Joshi,India,South Africa,bat first,Kenya,away,1999
Zimbabwe,South Africa,216,217,10,1,South Africa,Day,LG Cup,Lance Klusener,South Africa,South Africa,field first,Kenya,away,1999
India,Kenya,220,162,7,10,India,Day,LG Cup,Vijay Bharadwaj,India,Kenya,field first,Kenya,away,1999
South Africa,Kenya,220,196,7,10,South Africa,Day,LG Cup,Steve Tikolo,Kenya,Kenya,field first,Kenya,away,1999
India,Zimbabwe,277,170,6,10,India,Day,LG Cup,Sourav Ganguly,India,Zimbabwe,field first,Kenya,away,1999
South Africa,India,235,209,9,10,South Africa,Day,LG Cup,Herschelle Gibbs,South Africa,India,field first,Kenya,away,1999
West Indies,Bangladesh,292,219,6,5,West Indies,Day and night,West Indies tour of Bangladesh,Jimmy Adams,West Indies,West Indies,bat first,Bangladesh,away,1999
West Indies,Bangladesh,314,205,6,10,West Indies,Day and night,West Indies tour of Bangladesh,Brian Lara,West Indies,West Indies,bat first,Bangladesh,away,1999
Sri Lanka,West Indies,178,181,10,7,West Indies,Day and night,Coca-Cola Champions Trophy,Jimmy Adams,West Indies,Sri Lanka,bat first,United Arab Emirates,away,1999
Pakistan,West Indies,260,130,5,10,Pakistan,Day and night,Coca-Cola Champions Trophy,Saeed Anwar,Pakistan,Pakistan,bat first,United Arab Emirates,away,1999
Pakistan,Sri Lanka,196,196,10,10,Match tied,Day and night,Coca-Cola Champions Trophy,Abdul Razzaq,Pakistan,Pakistan,bat first,United Arab Emirates,away,1999
West Indies,Sri Lanka,145,146,10,1,Sri Lanka,Day and night,Coca-Cola Champions Trophy,Sanath Jayasuriya,Sri Lanka,West Indies,bat first,United Arab Emirates,away,1999
Pakistan,Sri Lanka,239,121,8,10,Pakistan,Day and night,Coca-Cola Champions Trophy,Shahid Afridi,Pakistan,Pakistan,bat first,United Arab Emirates,away,1999
Pakistan,West Indies,255,117,5,10,Pakistan,Day and night,Coca-Cola Champions Trophy,Azhar Mahmood,Pakistan,Pakistan,bat first,United Arab Emirates,away,1999
Australia,Zimbabwe,303,220,6,10,Australia,Day,Australia tour of Zimbabwe,Mark Waugh,Australia,Zimbabwe,field first,Zimbabwe,away,1999
Pakistan,Sri Lanka,211,123,9,10,Pakistan,Day and night,Coca-Cola Champions Trophy,Azhar Mahmood,Pakistan,Pakistan,bat first,United Arab Emirates,away,1999
Zimbabwe,Australia,116,117,10,1,Australia,Day,Australia tour of Zimbabwe,Damien Fleming,Australia,Australia,field first,Zimbabwe,away,1999
Zimbabwe,Australia,200,201,9,1,Australia,Day,Australia tour of Zimbabwe,Andy Flower,Zimbabwe,Australia,field first,Zimbabwe,away,1999
New Zealand,India,349,306,9,10,New Zealand,Day,New Zealand tour of India,Nathan Astle,New Zealand,New Zealand,bat first,India,away,1999
India,New Zealand,376,202,2,10,India,Day,New Zealand tour of India,Sachin Tendulkar,India,India,bat first,India,home,1999
India,New Zealand,261,247,5,8,India,Day,New Zealand tour of India,Sourav Ganguly,India,India,bat first,India,home,1999
New Zealand,India,236,188,9,10,New Zealand,Day,New Zealand tour of India,Chris Cairns,New Zealand,India,field first,India,away,1999
New Zealand,India,179,181,9,3,India,Day,New Zealand tour of India,Sourav Ganguly,India,New Zealand,bat first,India,home,1999
Sri Lanka,Zimbabwe,213,200,10,10,Sri Lanka,Day,Sri Lanka tour of Zimbabwe,Russel Arnold,Sri Lanka,Zimbabwe,field first,Zimbabwe,away,1999
Sri Lanka,Zimbabwe,248,150,7,10,Sri Lanka,Day,Sri Lanka tour of Zimbabwe,Upul Chandana,Sri Lanka,Zimbabwe,field first,Zimbabwe,away,1999
Zimbabwe,Sri Lanka,260,262,4,4,Sri Lanka,Day,Sri Lanka tour of Zimbabwe,Stuart Carlisle,Zimbabwe,Zimbabwe,bat first,Zimbabwe,away,1999
Sri Lanka,Zimbabwe,202,206,10,4,Zimbabwe,Day,Sri Lanka tour of Zimbabwe,Guy Whittall,Zimbabwe,Sri Lanka,bat first,Zimbabwe,home,1999
West Indies,New Zealand,268,250,7,7,New Zealand,Day,West Indies tour of New Zealand,Nathan Astle,New Zealand,West Indies,bat first,New Zealand,home,2000
West Indies,New Zealand,192,194,10,3,New Zealand,Day and night,West Indies tour of New Zealand,Daniel Vettori,New Zealand,New Zealand,field first,New Zealand,home,2000
West Indies,New Zealand,159,160,10,6,New Zealand,Day and night,West Indies tour of New Zealand,Stephen Fleming,New Zealand,West Indies,bat first,New Zealand,home,2000
West Indies,New Zealand,171,172,9,2,New Zealand,Day,West Indies tour of New Zealand,Chris Harris,New Zealand,New Zealand,field first,New Zealand,home,
Pakistan,Australia,184,139,8,10,Pakistan,Day and night,Carlton & United Series,Abdul Razzaq,Pakistan,Pakistan,bat first,Australia,away,2000
India,Pakistan,195,196,10,8,Pakistan,Day and night,Carlton & United Series,Mohammad Yousuf,Pakistan,India,bat first,Australia,away,2000
New Zealand,West Indies,302,282,6,10,New Zealand,Day and night,West Indies tour of New Zealand,Roger Twose,New Zealand,New Zealand,bat first,New Zealand,home,2000
Australia,India,269,241,7,6,Australia,Day and night,Carlton & United Series,Ricky Ponting,Australia,Australia,bat first,Australia,home,2000
India,Australia,100,101,10,5,Australia,Day and night,Carlton & United Series,Andrew Symonds,Australia,India,bat first,Australia,home,2000
Pakistan,Australia,176,177,9,4,Australia,Day,Carlton & United Series,Steve Waugh,Australia,Australia,field first,Australia,home,2000
Australia,Pakistan,286,205,10,10,Australia,Day and night,Carlton & United Series,Stuart MacGill,Australia,Australia,bat first,Australia,home,2000
Pakistan,India,262,230,7,10,Pakistan,Day,Carlton & United Series,Abdul Razzaq,Pakistan,India,field first,Australia,away,2000
Zimbabwe,South Africa,226,229,10,4,South Africa,Day and night,Standard Bank Triangular Tournament,Hansie Cronje,South Africa,Zimbabwe,bat first,South Africa,home,2000
Australia,Pakistan,260,245,9,10,Australia,Day and night,Carlton & United Series,Michael Bevan,Australia,Australia,bat first,Australia,home,2000
South Africa,England,184,185,10,1,England,Day,Standard Bank Triangular Tournament,Darren Gough,England,South Africa,bat first,South Africa,away,2000
India,Pakistan,267,219,6,10,India,Day and night,Carlton & United Series,Sourav Ganguly,India,India,bat first,Australia,away,2000
Australia,India,329,177,5,10,Australia,Day and night,Carlton & United Series,Mark Waugh,Australia,Australia,bat first,Australia,home,2000
South Africa,England,204,203,7,9,South Africa,Day and night,Standard Bank Triangular Tournament,Jacques Kallis,South Africa,South Africa,bat first,South Africa,home,2000
Pakistan,India,261,157,8,10,Pakistan,Day and night,Carlton & United Series,Wasim Akram,Pakistan,Pakistan,bat first,Australia,away,2000
Zimbabwe,England,211,107,7,10,Zimbabwe,Day and night,Standard Bank Triangular Tournament,Henry Olonga,Zimbabwe,Zimbabwe,bat first,South Africa,away,2000
India,Australia,226,230,6,6,Australia,Day,Carlton & United Series,Michael Bevan,Australia,India,bat first,Australia,home,2000
Zimbabwe,England,161,162,9,2,England,Day,Standard Bank Triangular Tournament,Mark Ealham,England,Zimbabwe,bat first,South Africa,away,2000
Pakistan,Australia,154,155,10,4,Australia,Day and night,Carlton & United Series,Glenn McGrath,Australia,Pakistan,bat first,Australia,home,2000
South Africa,Zimbabwe,222,223,7,8,Zimbabwe,Day and night,Standard Bank Triangular Tournament,Andy Flower,Zimbabwe,South Africa,bat first,South Africa,away,2000
Australia,Pakistan,337,185,7,10,Australia,Day and night,Carlton & United Series,Ricky Ponting,Australia,Australia,bat first,Australia,home,2000
England,South Africa,231,233,6,8,South Africa,Day and night,Standard Bank Triangular Tournament,Mark Alleyne,England,South Africa,field first,South Africa,home,2000
South Africa,Zimbabwe,204,151,7,10,South Africa,Day,Standard Bank Triangular Tournament,Jacques Kallis,South Africa,South Africa,bat first,South Africa,home,2000
Sri Lanka,Pakistan,274,245,8,10,Sri Lanka,Day,Sri Lanka tour of Pakistan,Marvan Atapattu,Sri Lanka,Pakistan,field first,Pakistan,away,2000
South Africa,England,149,111,10,10,South Africa,Day and night,Standard Bank Triangular Tournament,Shaun Pollock,South Africa,England,field first,South Africa,home,2000
Sri Lanka,Pakistan,263,229,6,10,Sri Lanka,Day,Sri Lanka tour of Pakistan,Sanath Jayasuriya,Sri Lanka,Pakistan,field first,Pakistan,away,2000
Zimbabwe,England,194,199,7,5,England,Day,England tour of Zimbabwe,Graeme Hick,England,Zimbabwe,bat first,Zimbabwe,away,2000
Zimbabwe,England,131,134,10,9,England,Day,England tour of Zimbabwe,Craig White,England,England,field first,Zimbabwe,away,2000
New Zealand,Australia,122,123,10,5,Australia,Day and night,Australia tour of New Zealand,Brett Lee,Australia,New Zealand,bat first,New Zealand,away,2000
Sri Lanka,Pakistan,241,137,9,10,Sri Lanka,Day,Sri Lanka tour of Pakistan,Marvan Atapattu,Sri Lanka,Pakistan,field first,Pakistan,away,2000
England,Zimbabwe,248,163,7,10,England,Day,England tour of Zimbabwe,Graeme Hick,England,Zimbabwe,field first,Zimbabwe,away,2000
Australia,New Zealand,310,260,4,10,Australia,Day and night,Australia tour of New Zealand,Adam Gilchrist,Australia,New Zealand,field first,New Zealand,away,2000
Australia,New Zealand,349,301,6,9,Australia,Day and night,Australia tour of New Zealand,Adam Gilchrist,Australia,New Zealand,field first,New Zealand,away,2000
New Zealand,Australia,243,245,9,5,Australia,Day and night,Australia tour of New Zealand,Michael Bevan,Australia,Australia,field first,New Zealand,away,2000
Australia,New Zealand,191,194,10,3,New Zealand,Day and night,Australia tour of New Zealand,Chris Nevin,New Zealand,Australia,bat first,New Zealand,home,2000
South Africa,India,301,302,3,7,India,Day,South Africa tour of India,Ajay Jadeja,India,South Africa,bat first,India,home,2000
South Africa,India,199,203,10,4,India,Day,South Africa tour of India,Sourav Ganguly,India,South Africa,bat first,India,home,2000
India,South Africa,248,251,8,8,South Africa,Day,South Africa tour of India,Hansie Cronje,South Africa,South Africa,field first,India,away,2000
South Africa,India,282,283,5,6,India,Day,South Africa tour of India,Sachin Tendulkar,India,South Africa,bat first,India,home,2000
South Africa,India,320,310,7,10,South Africa,Day,South Africa tour of India,Lance Klusener,South Africa,India,field first,India,away,2000
India,South Africa,164,168,10,0,South Africa,Day and night,Coca-Cola Cup,Steve Elworthy,South Africa,India,bat first,United Arab Emirates,away,2000
Pakistan,India,146,149,10,5,India,Day and night,Coca-Cola Cup,Mohammad Azharuddin,India,Pakistan,bat first,United Arab Emirates,away,2000
Pakistan,South Africa,196,199,8,7,South Africa,Day and night,Coca-Cola Cup,Lance Klusener,South Africa,Pakistan,bat first,United Arab Emirates,away,2000
Pakistan,India,272,174,3,9,Pakistan,Day and night,Coca-Cola Cup,Waqar Younis,Pakistan,Pakistan,bat first,United Arab Emirates,away,2000
India,South Africa,164,167,10,4,South Africa,Day and night,Coca-Cola Cup,Nantie Hayward,South Africa,India,bat first,United Arab Emirates,away,2000
Pakistan,South Africa,168,101,10,10,Pakistan,Day and night,Coca-Cola Cup,Shoaib Akhtar,Pakistan,Pakistan,bat first,United Arab Emirates,away,2000
Pakistan,South Africa,263,247,6,10,Pakistan,Day and night,Coca-Cola Cup,Waqar Younis,Pakistan,Pakistan,bat first,United Arab Emirates,away,2000
West Indies,Zimbabwe,237,150,9,10,West Indies,Day,Cable & Wireless One Day International Series,Sherwin Campbell,West Indies,Zimbabwe,field first,West Indies,home,2000
West Indies,Zimbabwe,280,239,3,8,West Indies,Day,Cable & Wireless One Day International Series,Wavell Hinds,West Indies,West Indies,bat first,West Indies,home,2000
Zimbabwe,Pakistan,199,200,9,5,Pakistan,Day,Cable & Wireless One Day International Series,Shahid Afridi,Pakistan,Zimbabwe,bat first,West Indies,away,2000
Australia,South Africa,240,241,9,4,South Africa,Day and night,Australia tour of South Africa,Gary Kirsten,South Africa,South Africa,field first,South Africa,home,2000
West Indies,Pakistan,213,117,7,10,West Indies,Day,Cable & Wireless One Day International Series,Franklyn Rose,West Indies,West Indies,bat first,West Indies,home,2000
South Africa,Australia,144,145,9,5,Australia,Day and night,Australia tour of South Africa,Damien Martyn,Australia,Australia,field first,South Africa,away,2000
Zimbabwe,Pakistan,204,205,7,4,Pakistan,Day,Cable & Wireless One Day International Series,Imran Nazir,Pakistan,Zimbabwe,bat first,Grenada,away,2000
Australia,South Africa,205,209,10,6,South Africa,Day,Australia tour of South Africa,Lance Klusener,South Africa,South Africa,field first,South Africa,home,2000
West Indies,Pakistan,248,231,6,10,West Indies,Day,Cable & Wireless One Day International Series,Reon King,West Indies,West Indies,bat first,Grenada,away,2000
Pakistan,West Indies,197,180,8,10,Pakistan,Day,Cable & Wireless One Day International Series,Wasim Akram,Pakistan,Pakistan,bat first,West Indies,away,2000
West Indies,Pakistan,208,148,8,10,West Indies,Day,Cable & Wireless One Day International Series,Sherwin Campbell,West Indies,West Indies,bat first,West Indies,home,2000
West Indies,Pakistan,114,116,10,6,Pakistan,Day,Cable & Wireless One Day International Series,Mushtaq Ahmed,Pakistan,West Indies,bat first,West Indies,away,2000
Bangladesh,Sri Lanka,175,178,6,1,Sri Lanka,Day and night,Asia Cup,Aravinda de Silva,Sri Lanka,Sri Lanka,field first,Bangladesh,away,2000
Bangladesh,India,249,252,6,2,India,Day and night,Asia Cup,Sourav Ganguly,India,Bangladesh,bat first,Bangladesh,away,
Sri Lanka,India,276,205,8,10,Sri Lanka,Day and night,Asia Cup,Sanath Jayasuriya,Sri Lanka,Sri Lanka,bat first,Bangladesh,away,2000
Pakistan,Bangladesh,320,87,3,10,Pakistan,Day and night,Asia Cup,Imran Nazir,Pakistan,Pakistan,bat first,Bangladesh,away,2000
Pakistan,India,295,251,7,10,Pakistan,Day and night,Asia Cup,Mohammad Yousuf,Pakistan,Pakistan,bat first,Bangladesh,away,2000
Sri Lanka,Pakistan,192,193,10,3,Pakistan,Day and night,Asia Cup,Mohammad Yousuf,Pakistan,Sri Lanka,bat first,Bangladesh,away,2000
Pakistan,Sri Lanka,277,238,4,10,Pakistan,Day and night,Asia Cup,Moin Khan,Pakistan,Pakistan,bat first,Bangladesh,away,2000
Pakistan,Sri Lanka,164,166,8,5,Sri Lanka,Day,Singer Triangular Series,Nuwan Zoysa,Sri Lanka,Sri Lanka,field first,Sri Lanka,home,2000
Sri Lanka,South Africa,249,212,7,10,Sri Lanka,Day,Singer Triangular Series,Kumar Sangakkara,Sri Lanka,South Africa,field first,Sri Lanka,home,2000
West Indies,Zimbabwe,232,233,7,4,Zimbabwe,Day and night,NatWest Series,Neil Johnson,Zimbabwe,West Indies,bat first,England,away,2000
South Africa,Pakistan,241,223,6,9,South Africa,Day and night,Singer Triangular Series,Jacques Kallis,South Africa,South Africa,bat first,Sri Lanka,away,2000
England,Zimbabwe,207,210,10,5,Zimbabwe,Day,NatWest Series,Alistair Campbell,Zimbabwe,England,bat first,England,away,2000
Pakistan,Sri Lanka,240,244,6,4,Sri Lanka,Day and night,Singer Triangular Series,Sanath Jayasuriya,Sri Lanka,Pakistan,bat first,Sri Lanka,home,2000
South Africa,Sri Lanka,167,168,10,2,Sri Lanka,Day,Singer Triangular Series,Avishka Gunawardene,Sri Lanka,Sri Lanka,field first,Sri Lanka,home,2000
Zimbabwe,West Indies,256,186,4,8,Zimbabwe,Day,NatWest Series,Guy Whittall,Zimbabwe,West Indies,field first,England,away,2000
Pakistan,South Africa,153,156,10,3,South Africa,Day,Singer Triangular Series,David Terbrugge,South Africa,Pakistan,bat first,Sri Lanka,away,2000
Zimbabwe,England,114,115,10,2,England,Day and night,NatWest Series,Andrew Flintoff,England,Zimbabwe,bat first,England,home,2000
Sri Lanka,South Africa,294,264,7,9,Sri Lanka,Day and night,Singer Triangular Series,Muthiah Muralidaran,Sri Lanka,Sri Lanka,bat first,Sri Lanka,home,2000
West Indies,England,169,171,8,0,England,Day,NatWest Series,Marcus Trescothick,England,England,field first,England,home,2000
West Indies,Zimbabwe,287,290,5,4,Zimbabwe,Day,NatWest Series,Murray Goodwin,Zimbabwe,West Indies,bat first,England,away,2000
England,Zimbabwe,262,210,8,9,England,Day and night,NatWest Series,Alec Stewart,England,England,bat first,England,home,2000
West Indies,England,195,192,9,10,West Indies,Day,NatWest Series,Chris Gayle,West Indies,England,field first,England,away,2000
Zimbabwe,England,169,170,7,4,England,Day,NatWest Series,Alec Stewart,England,England,field first,England,home,2000
Australia,South Africa,295,201,5,7,Australia,Day and night,South Africa tour of Australia,Steve Waugh,Australia,South Africa,field first,Australia,home,2000
South Africa,Australia,226,226,8,9,Match tied,Day and night,South Africa tour of Australia,Andrew Hall,South Africa,South Africa,bat first,Australia,away,2000
South Africa,Australia,206,198,7,9,South Africa,Day,South Africa tour of Australia,Nicky Boje,South Africa,South Africa,bat first,Australia,away,2000
Pakistan,New Zealand,191,179,6,10,Pakistan,Day,Godrej Singapore Challenge,Ijaz Ahmed,Pakistan,New Zealand,field first,Singapore,away,2000
Pakistan,South Africa,227,199,9,10,Pakistan,Day,Godrej Singapore Challenge,Abdul Razzaq,Pakistan,Pakistan,bat first,Singapore,away,2000
New Zealand,South Africa,158,159,10,2,South Africa,Day,Godrej Singapore Challenge,Shaun Pollock,South Africa,New Zealand,bat first,Singapore,away,2000
South Africa,Pakistan,197,121,7,10,South Africa,Day,Godrej Singapore Challenge,Nicky Boje,South Africa,South Africa,bat first,Singapore,away,2000
Zimbabwe,New Zealand,183,184,8,3,New Zealand,Day,New Zealand tour of Zimbabwe,Nathan Astle,New Zealand,New Zealand,field first,Zimbabwe,away,2000
Zimbabwe,New Zealand,273,252,5,10,Zimbabwe,Day,New Zealand tour of Zimbabwe,Heath Streak,Zimbabwe,New Zealand,field first,Zimbabwe,home,2000
New Zealand,Zimbabwe,264,268,8,4,Zimbabwe,Day,New Zealand tour of Zimbabwe,Alistair Campbell,Zimbabwe,New Zealand,bat first,Zimbabwe,home,2000
Kenya,India,208,209,9,2,India,Day,ICC KnockOut,Anil Kumble,India,India,field first,Kenya,away,2000
Sri Lanka,West Indies,287,179,6,10,Sri Lanka,Day,ICC KnockOut,Avishka Gunawardene,Sri Lanka,West Indies,field first,Kenya,away,2000
Bangladesh,England,232,236,8,2,England,Day,ICC KnockOut,Alec Stewart,England,Bangladesh,bat first,Kenya,away,2000
India,Australia,265,245,9,10,India,Day,ICC KnockOut,Yuvraj Singh,India,Australia,field first,Kenya,away,2000
Sri Lanka,Pakistan,194,195,10,1,Pakistan,Day,ICC KnockOut,Saeed Anwar,Pakistan,Sri Lanka,bat first,Kenya,away,2000
New Zealand,Zimbabwe,265,201,7,10,New Zealand,Day,ICC KnockOut,Roger Twose,New Zealand,Zimbabwe,field first,Kenya,away,2000
England,South Africa,182,184,10,2,South Africa,Day,ICC KnockOut,Jacques Kallis,South Africa,England,bat first,Kenya,away,2000
Pakistan,New Zealand,252,255,10,6,New Zealand,Day,ICC KnockOut,Shayne O'Connor,New Zealand,Pakistan,bat first,Kenya,away,2000
India,South Africa,295,200,6,10,India,Day,ICC KnockOut,Sourav Ganguly,India,India,bat first,Kenya,away,2000
India,New Zealand,264,265,6,6,New Zealand,Day,ICC KnockOut,Chris Cairns,New Zealand,New Zealand,field first,Kenya,away,2000
India,Sri Lanka,224,225,8,5,Sri Lanka,Day and night,Coca-Cola Champions Trophy,Sachin Tendulkar,India,India,bat first,United Arab Emirates,away,2000
Zimbabwe,Sri Lanka,225,229,4,3,Sri Lanka,Day and night,Coca-Cola Champions Trophy,Andy Flower,Zimbabwe,Sri Lanka,field first,United Arab Emirates,away,2000
New Zealand,South Africa,194,197,8,4,South Africa,Day,New Zealand tour of South Africa,Nicky Boje,South Africa,New Zealand,bat first,South Africa,home,2000
India,Zimbabwe,265,252,8,6,India,Day and night,Coca-Cola Champions Trophy,Zaheer Khan,India,Zimbabwe,field first,United Arab Emirates,away,2000
Pakistan,England,304,306,9,5,England,Day and night,England tour of Pakistan,Andrew Flintoff,England,Pakistan,bat first,Pakistan,away,2000
Sri Lanka,Zimbabwe,276,153,9,10,Sri Lanka,Day and night,Coca-Cola Champions Trophy,Sanath Jayasuriya,Sri Lanka,Zimbabwe,field first,United Arab Emirates,away,2000
South Africa,New Zealand,324,189,4,10,South Africa,Day and night,New Zealand tour of South Africa,Nicky Boje,South Africa,New Zealand,field first,South Africa,home,2000
